權證代號,權證簡稱,履約價格,行使比例,到期日
700001,欣銓元大53購04,92.8,0.149,20260331
700002,長佳智元大53購02,108.5,0.156,20260331
700003,威剛元大53購10,174.0,0.044,20260331
700004,原相元大53購08,361.0,0.083,20260331
700005,能率元大53購04,87.6,0.242,20260331
700006,鈊象元大53購08,1105.0,0.046,20260331
700007,鈊象元大53購09,938.0,0.027,20260331
700008,新應材元大56購02,1350.0,0.02,20260630
700009,萬潤元大53購03,461.0,0.025,20260331
700010,萬潤元大56購01,571.0,0.036,20260601
700011,聖暉*元大53購05,926.0,0.014,20260331
700012,廣明元大53購10,176.5,0.063,20260331
700013,雙鴻元大53購09,1220.0,0.029,20260331
700014,雙鴻元大53購10,1250.0,0.013,20260331
700015,原相富邦54購01,315.0,0.035,20260430
700016,博智富邦56購01,180.88,0.038,20260601
700017,聖暉*富邦54購01,1030.0,0.008,20260430
700018,雙鴻富邦56購02,1228.88,0.009,20260630
700019,宏捷科統一5C購01,168.88,0.013,20261231
700020,佳邦統一5C購01,111.11,0.024,20261231
700021,長佳智統一5C購02,121.68,0.013,20261231
700022,華星光統一5C購01,321.68,0.012,20261231
700023,新應材統一5B購02,1188.88,0.003,20261130
700024,新應材統一64購02,1314.15,0.001,20270503
700025,雙鴻統一5B購01,1168.88,0.003,20261130
700026,新應材中信53購01,1350.0,0.01,20260331
700027,新應材中信57購01,1200.0,0.01,20260731
700028,雙鴻中信59購01,1290.0,0.007,20260930
700029,均豪元富54購02,133.0,0.055,20260430
700030,均豪元富54購03,166.0,0.12,20260430
700031,金山電元富53購01,50.0,0.2,20260331
700032,金山電元富54購01,59.47,0.25,20260430
700033,能率元富54購02,87.0,0.14,20260430
700034,閎康元富54購01,260.0,0.048,20260430
700035,閎康元富54購02,315.75,0.06,20260430
700036,鈊象元富53購06,850.0,0.05,20260331
700037,新應材元富53購03,1120.0,0.02,20260331
700038,新應材元富53購04,1210.0,0.03,20260331
700039,雍智元富53購02,450.0,0.012,20260331
700040,廣明元富53購02,195.0,0.19,20260331
700041,新應材永豐53購05,950.0,0.01,20260331
700042,新應材永豐56購02,1216.35,0.01,20260630
